Tissue	Module	Size	Layer	Parent	Hub	Function	Enrichment of aging-upregulated genes	Enrichment of aging-downregulated genes
Adipose	M3	1683	2	M1	SEMA4D,NCKAP1L,ACP5,TREM2,TYROBP,MXD1,CD3D,IFI30,NPL,FAM65B,GRN,RAC2,PLA2G7,CORO1A,FGD3,TTYH3,FYB,FOLR2,FPR1,PRKCB1,SPOCD1,DNASE2B,KYNU,CD300A,H2AFY,ITK,LCP1,FERMT3,DOCK2,LTB,AMICA1,CD53,HCK,CTSD,HCST,ITGAX,SLC25A39,TOP2A,IL7R,GLA,CD86,CEP55,GZMA,LPXN,ALCAM,NLF2,MS4A6A,C1S,SMS,FGR,ITGB2,MMP25,PARVG,PTPN6,SMAP2,CD163,LGMN,HEXB,UBE2C,VSIG4,HAMP,NUSAP1,FPR3,SLC12A9,PTGIS,TCIRG1,CMTM2,NKG7,ADAM8,LAPTM5,PSCDBP,JUNB,PMP2,M6PR,CD276,MMP2,LILRB5,TUBB1,RGS18,SLC16A10,GBA,NR4A2,SASH3,GPSM3,EVI2B,LOC606724,LOC285929,MYD88,AHNAK2,MAN2B1,LOC729941,TMEM71,AQP9,ARHGAP9,LOC100134634,CXCL16,LYN,FCGR2A,HLA.DMB,BCAT1,SLC15A3,FCGRT,CSF3R,PROK2,CD48,SNCA,LOC100134530,GLIPR1,LOC642590,HLA.DRA,JUN,CYP27A1,ARHGDIB,NFKBIZ,GPNMB,ROD1,TM4SF19,WAS	T_CELL_ACTIVATION	0	NA
Adipose	M40	167	3	M3	RAC2,FYB,PRKCB1,CORO1A,HCK,PTPN6,PSCDBP,FGR,GPSM3,EVI2B,AQP9,LYN	POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	1.76872858402733e-67	NA
Adipose	M15	185	2	M2	ANG,GMCL1,NAALAD2,GPD1L,GPHN,MPDZ,TTLL7,ADH1B,SLC27A2,GSDMB,PHF13	MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	NA	8.88834731262313e-65
Adipose	M46	98	3	M3	FOLR2,MS4A6A,LGMN,VSIG4,LILRB5	HUMORAL_IMMUNE_RESPONSE	4.36081785660214e-55	NA
Adipose	M277	73	4	M46	FOLR2,LGMN,MS4A6A,LILRB5	DENDRITIC_CELL_DIFFERENTIATION	4.04306103101566e-44	NA
Adipose	M169	101	3	M15	GMCL1,NAALAD2,GPHN,TTLL7,MPDZ,SLC27A2	ORGANIC_ACID_BIOSYNTHETIC_PROCESS	NA	8.05339692629473e-39
Adipose	M41	121	3	M3	DOCK2,TYROBP,FERMT3,ITGB2,LCP1,FCGR2A	INTEGRIN_MEDIATED_SIGNALING_PATHWAY	1.95761533714927e-35	NA
Adipose	M260	72	4	M40	FYB,HCK,PSCDBP	INTERLEUKIN_1_BETA_PRODUCTION	2.78681793933782e-30	NA
Adipose	M689	58	5	M260	FYB,HCK	RESPONSE_TO_INTERFERON_GAMMA	2.24526319306108e-27	NA
Adipose	M36	128	3	M3	NCKAP1L,CD86,HCST,CXCL16,HLA.DMB,SLC15A3,HLA.DRA	NEUTROPHIL_MIGRATION	1.30368717695868e-31	NA
Adipose	M14	175	2	M2	PXMP2,ALDH6A1,LDHD,BCKDHB,PCCB,LOC100133972,PCCA	ORGANIC_ACID_CATABOLIC_PROCESS	NA	2.42607669313085e-35
Adipose	M248	89	4	M36	NCKAP1L,CD86,CXCL16,SLC15A3,HCST	POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	1.12163827760443e-26	NA
Adipose	M168	84	3	M15	ANG,GPD1L,GSDMB,PHF13	NA	NA	2.94077312014183e-25
Adipose	M43	79	3	M3	CD3D,GZMA,NKG7,ITK	T_CELL_ACTIVATION	5.48454300289596e-27	NA
Adipose	M92	108	3	M6	LOC728453,PSMB7,EEF1D,HBD,AHSP,LOC100131164,DERL2	OXYGEN_TRANSPORT	0.000666596157104962	1.0052757173831e-11
Adipose	M238	121	4	M32	SEMA4D,FGD3,AMICA1,ADAM8,TMEM71,LOC606724	T_CELL_ACTIVATION	5.48454300289596e-27	NA
Adipose	M266	76	4	M42	KYNU,NPL,IFI30,LPXN,FPR3,SPRED1	NA	5.77106519951948e-21	NA
Adipose	M670	91	5	M238	SEMA4D,AMICA1,ADAM8,TMEM71,LOC606724	T_CELL_ACTIVATION	4.46705528758511e-25	NA
Adipose	M263	27	4	M41	TYROBP	POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	7.16481538247884e-18	NA
Adipose	M264	43	4	M41	DOCK2,ITGB2,FCGR2A	PHAGOCYTOSIS	1.24171644138629e-19	NA
Adipose	M32	185	3	M3	SEMA4D,FGD3,AMICA1,SMAP2,ADAM8,TUBB1,RGS18,SLC12A9,TMEM71,LOC606724	INNATE_IMMUNE_RESPONSE_IN_MUCOSA	3.22295078981367e-28	NA
Adipose	M694	36	5	M264	DOCK2,ITGB2,FCGR2A	PHAGOCYTOSIS	5.15290856905336e-21	NA
Adipose	M268	40	4	M43	CD3D,GZMA	T_CELL_ACTIVATION	9.14908331055638e-21	NA
Adipose	M33	107	3	M3	MXD1,FPR1,FAM65B,CMTM2,MMP25	REGULATION_OF_INFLAMMATORY_RESPONSE	9.66527892580197e-24	NA
Adipose	M676	25	5	M248	CD86	POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS	2.32708342690788e-17	NA
Adipose	M164	51	3	M14	ALDH6A1,PCCA	BRANCHED_CHAIN_AMINO_ACID_CATABOLIC_PROCESS	NA	7.28135058837918e-20
Adipose	M45	76	3	M3	CD300A,ITGAX,PARVG,TCIRG1,SASH3,MYD88	ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	6.55025371423806e-20	NA
Adipose	M557	62	4	M168	ANG,GSDMB	NA	NA	4.21088169351958e-18
Adipose	M42	111	3	M3	KYNU,NPL,SMS,IFI30,M6PR,LOC642590,HEXB	NA	2.56330913334659e-18	NA
Adipose	M240	40	4	M33	FPR1,CMTM2,PROK2	LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	4.62437714203496e-18	NA
Adipose	M559	45	4	M169	GMCL1,TTLL7,NAALAD2	NA	NA	5.55708709782365e-18
Adipose	M166	51	3	M14	PXMP2	NA	NA	2.75018264571319e-16
Adipose	M44	41	3	M3	SLC25A39,SNCA,WDR40A	NA	3.38882167365232e-15	NA
Adipose	M778	55	5	M380	LOC728453,EEF1D	NA	NA	2.04638902547221e-15
Adipose	M380	71	4	M92	LOC728453,PSMB7,EEF1D	NA	NA	2.95375460215909e-16
Adipose	M697	23	5	M266	NPL,IFI30	NA	3.28358104631285e-12	NA
Adipose	M696	29	5	M266	KYNU,CCDC109B	NA	2.86754304763618e-10	NA
Adipose	M186	82	3	M18	MVP,S100A4,CD99,GMPPA,EMP3	MEMBRANE_LIPID_METABOLIC_PROCESS	4.31148996410471e-12	NA
Adipose	M57	15	3	M5	CPA3,MS4A2	REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	1.54366291237133e-11	NA
Adipose	M272	26	4	M44	SLC25A39	NA	3.88253121448513e-11	NA
Adipose	M941	14	6	M689	WAS,GPSM3	NA	1.72267657694765e-10	NA
Adipose	M379	37	4	M92	HBD,LOC100131164,AHSP	ERYTHROCYTE_HOMEOSTASIS	1.70149451621811e-10	NA
Adipose	M307	53	4	M56	DENND4B,TAPBP,EHBP1L1,CDC25B	T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	3.9248549028583e-06	NA
Adipose	M96	91	3	M7	FBN1,C1QTNF3,PI16,FNDC1,DPYSL3	MIDBRAIN_DOPAMINERGIC_NEURON_DIFFERENTIATION	2.230409064159e-13	NA
Adipose	M274	44	4	M45	CD300A,CD53,PARVG	MYD88_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	4.36653222789846e-10	NA
Adipose	M199	14	3	M21	LPIN1	PHOSPHATIDYLETHANOLAMINE_BIOSYNTHETIC_PROCESS	NA	7.25914579022141e-09
Adipose	M254	54	4	M39	ACP5,SPOCD1,PLA2G7	NA	3.94478955955026e-11	NA
Adipose	M9	337	2	M1	PHF3,BCLAF1,MARCH7,RSBN1,FBXO11,CAND1,PTK2,BAZ2B,ZNF615,RCOR3,SNRK,RNF38,ZNF322A,GPR116,SMAD4,PLSCR4,ZNF518A	NUCLEOTIDE_EXCISION_REPAIR_DNA_INCISION	NA	4.62092251135911e-21
Adipose	M752	24	5	M307	TAPBP	NA	4.98567460857231e-06	NA
Adipose	M100	174	3	M9	PHF3,RSBN1,RCOR3,ZNF615,BAZ2B,SNRK,RNF38,PLSCR4	NA	NA	2.02579997190623e-15
Adipose	M692	25	5	M262	FERMT3	NA	7.54012035414301e-06	NA
Adipose	M262	29	4	M41	FERMT3	NA	4.52990143970575e-06	NA
Adipose	M621	19	4	M191	TXN,ITGB5	NA	2.30775867153647e-08	NA
Adipose	M560	13	4	M169	LOC731954,ESR1,SVIL	NA	NA	8.44779794258308e-08
Adipose	M936	26	6	M670	AMICA1,LOC606724	NEUTROPHIL_HOMEOSTASIS	9.80962242444439e-09	NA
Adipose	M429	73	4	M100	PHF3,RNF38,RCOR3	NA	NA	3.74086473819004e-11
Adipose	M400	23	4	M96	PI16	NA	2.22837197511257e-08	NA
Adipose	M77	43	3	M5	CS,COX10,DGAT1	CELLULAR_RESPIRATION	NA	2.07542296252094e-09
Adipose	M276	20	4	M45	TCIRG1	REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	4.59114248582214e-08	NA
Adipose	M677	39	5	M248	NCKAP1L	CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	3.62728065182077e-07	NA
Adipose	M702	11	5	M274	CD53	NA	2.44493249373756e-07	NA
Adipose	M75	53	3	M5	MLXIPL,DCI,C17orf61	ENERGY_HOMEOSTASIS	NA	1.3184609332398e-09
Adipose	M241	21	4	M33	FAM65B	NA	8.86433574484739e-08	NA
Adipose	M31	29	3	M3	C1S	GLUTATHIONE_DERIVATIVE_BIOSYNTHETIC_PROCESS	4.52990143970575e-06	NA
Adipose	M683	15	5	M254	PLA2G7,ACP5	DRUG_METABOLIC_PROCESS	3.74950224987978e-07	NA
Adipose	M605	22	4	M186	MVP	NA	0.00125475438135236	NA
Adipose	M632	24	4	M195	COX5B	OXIDATIVE_PHOSPHORYLATION	NA	5.51501780270244e-07
Adipose	M120	55	3	M10	CNBP,LOC731777,SCP2,DDHD2	TRANSLATIONAL_INITIATION	NA	1.46182121896761e-07
Adipose	M34	11	3	M3	LOC642113	NA	5.91050170952396e-06	NA
Adipose	M21	309	2	M2	UQCRFS1,COQ9,COX5B,ATP5A1,SDHB,COX8A,ACLY,ACACA,BRP44,ATP5B,ALDH9A1,CYC1,RTN3,AACS,MRPL12,ADORA1,ELOVL6,ATP5J,APOO	CELLULAR_RESPIRATION	NA	5.55242192029729e-14
