Tissue	Module	Symbol	is.hub
Adipose	M10	A1BG	no
Adipose	M10	AARSD1	no
Adipose	M10	AASDH	no
Adipose	M10	AASDHPPT	no
Adipose	M10	ABCA11	no
Adipose	M10	ABCA8	no
Adipose	M10	ABCA9	no
Adipose	M10	ABCB6	no
Adipose	M10	ABCF3	no
Adipose	M10	ABHD11	no
Adipose	M10	ABHD15	no
Adipose	M10	ABHD4	no
Adipose	M10	ACAA1	no
Adipose	M10	ACAD9	no
Adipose	M10	ACADSB	no
Adipose	M10	ACAP2	no
Adipose	M10	ACBD5	no
Adipose	M10	ACN9	no
Adipose	M10	ACO1	no
Adipose	M10	ACP1	no
Adipose	M10	ACSL1	yes
Adipose	M10	ACSL4	no
Adipose	M10	ACTR3	yes
Adipose	M10	ACVR2A	yes
Adipose	M10	ADA	no
Adipose	M10	ADAM9	no
Adipose	M10	ADAMTS5	no
Adipose	M10	ADAMTSL5	no
Adipose	M10	ADCY5	no
Adipose	M10	ADH5	no
Adipose	M10	ADI1	no
Adipose	M10	ADPGK	no
Adipose	M10	ADRB1	no
Adipose	M10	ADRB2	no
Adipose	M10	ADSS	no
Adipose	M10	AFF1	no
Adipose	M10	AGAP6	no
Adipose	M10	AGAP8	no
Adipose	M10	AGFG1	yes
Adipose	M10	AGL	no
Adipose	M10	AGXT	no
Adipose	M10	AHCYL1	no
Adipose	M10	AIDA	no
Adipose	M10	AJAP1	no
Adipose	M10	AK1	no
Adipose	M10	AKAP11	yes
Adipose	M10	AKR1CL1	no
Adipose	M10	ALDH1B1	no
Adipose	M10	ALDH1L2	no
Adipose	M10	ALDH2	no
Adipose	M10	ALDH7A1	no
Adipose	M10	ALG10B	no
Adipose	M10	ALG12	no
Adipose	M10	ALG2	no
Adipose	M10	ALG5	no
Adipose	M10	ALKBH1	no
Adipose	M10	ALKBH7	no
Adipose	M10	ALMS1	no
Adipose	M10	AMACR	no
Adipose	M10	AMD1	no
Adipose	M10	AMMECR1	no
Adipose	M10	AMY1C	no
Adipose	M10	AMZ2	no
Adipose	M10	ANK3	no
Adipose	M10	ANKRA2	no
Adipose	M10	ANKRD13C	no
Adipose	M10	ANKRD26	no
Adipose	M10	ANKRD39	no
