Tissue	Module	Id	Symbol	is.hub
Metabolite	M10	X12129	beta-hydroxyisovalerate	no
Metabolite	M10	X1284	threonine	no
Metabolite	M10	X1493	ornithine	no
Metabolite	M10	X1498	N6,N6,N6-trimethyllysine	no
Metabolite	M10	X15581	xylose	no
Metabolite	M10	X15677	3-methylhistidine	no
Metabolite	M10	X15685	5-hydroxylysine	no
Metabolite	M10	X15705	cystathionine	no
Metabolite	M10	X15720	N-acetylglutamate	no
Metabolite	M10	X1670	urea	no
Metabolite	M10	X18374	methionine sulfoxide	no
Metabolite	M10	X22137	homoarginine	no
Metabolite	M10	X32390	N-acetyltyrosine	no
Metabolite	M10	X33364	gamma-glutamylthreonine	no
Metabolite	M10	X33946	N-acetylhistidine	no
Metabolite	M10	X33953	N-acetylarginine	no
Metabolite	M10	X33959	N-acetyltryptophan	no
Metabolite	M10	X35127	pro-hydroxy-pro	no
Metabolite	M10	X35428	tiglylcarnitine (C5:1-DC)	no
Metabolite	M10	X35433	beta-hydroxyisovaleroylcarnitine	no
Metabolite	M10	X35651	ectoine	no
Metabolite	M10	X36747	deoxycarnitine	no
Metabolite	M10	X36752	N6-acetyllysine	no
Metabolite	M10	X37092	gamma-glutamyl-2-aminobutyrate	no
Metabolite	M10	X37432	N-acetyl-beta-alanine	no
Metabolite	M10	X40008	isoleucylglycine	no
Metabolite	M10	X40475	valylglycine	no
Metabolite	M10	X40703	prolylglycine	no
Metabolite	M10	X40730	imidazole propionate	no
Metabolite	M10	X42374	2-aminobutyrate	no
Metabolite	M10	X43255	N-acetyl-1-methylhistidine*	no
Metabolite	M10	X43256	N-acetyl-3-methylhistidine*	no
Metabolite	M10	X46146	4-methylcatechol sulfate	no
Metabolite	M10	X46646	X - 13835	no
Metabolite	M10	X46997	X - 12822	no
Metabolite	M10	X47301	X - 18887	no
Metabolite	M10	X48418	4-methylguaiacol sulfate	no
Metabolite	M10	X48434	N-acetylcitrulline	no
Metabolite	M10	X49466	X - 23590	no
Metabolite	M10	X52909	X - 24588	no
Metabolite	M10	X55	beta-alanine	no
Metabolite	M10	X55072	2-oxoarginine*	yes
Metabolite	M10	X57461	argininate*	yes
Metabolite	M10	X575	arabinose	no
Metabolite	M10	X57747	3-methylglutaconate	no
Metabolite	M10	X605	uracil	no
Metabolite	M10	X62946	1-methyl-5-imidazoleacetate	no
Metabolite	M10	X62950	2S,3R-dihydroxybutyrate	no
Metabolite	M10	X62959	hydroxy-N6,N6,N6-trimethyllysine*	no
Metabolite	M10	X63109	2R,3R-dihydroxybutyrate	no
Metabolite	M11	X1712	cortisol	no
Metabolite	M11	X1769	cortisone	no
Metabolite	M11	X32425	dehydroepiandrosterone sulfate (DHEA-S)	no
Metabolite	M11	X32562	pregnenediol disulfate (C21H34O8S2)*	no
Metabolite	M11	X32619	pregnenediol sulfate (C21H34O5S)*	no
Metabolite	M11	X32827	andro steroid monosulfate C19H28O6S (1)*	no
Metabolite	M11	X37203	androstenediol (3beta,17beta) disulfate (2)	no
Metabolite	M11	X37207	androstenediol (3alpha, 17alpha) monosulfate (2)	no
Metabolite	M11	X37209	androstenediol (3alpha, 17alpha) monosulfate (3)	no
Metabolite	M11	X37482	17alpha-hydroxypregnenolone 3-sulfate	no
Metabolite	M11	X38168	16a-hydroxy DHEA 3-sulfate	no
Metabolite	M11	X38170	pregnenolone sulfate	no
Metabolite	M11	X46115	21-hydroxypregnenolone disulfate	no
Metabolite	M11	X46409	X - 21364	no
Metabolite	M11	X46460	X - 11444	no
Metabolite	M11	X46486	X - 21441	no
Metabolite	M11	X46515	X - 21470	no
Metabolite	M11	X46601	X - 11470	no
Metabolite	M11	X46633	X - 12844	no
Metabolite	M11	X46662	X - 15492	no
