row	col	weight
X46360	X46443	0.998324041516793
X46914	X46603	0.99559010209849
X62290	X62292	0.993002024112976
X46914	X54877	0.99288234759092
X46603	X54877	0.990955180350418
X62295	X62296	0.983004082621034
X53260	X52944	0.980643648911986
X62297	X62299	0.980310249664953
X46517	X46493	0.979093167870015
X18281	X1515	0.976108812506913
X27672	X48698	0.974552323916235
X54955	X54956	0.970531172758754
X52285	X1336	0.96904670342216
X37196	X40708	0.964833295058558
X47708	X46998	0.964561738008593
X57463	X52944	0.962888643831819
X52944	X57464	0.962771544843167
X54960	X54961	0.962543842402087
X46685	X48076	0.961390173705807
X57709	X31548	0.959626880859536
X48001	X46998	0.959468287055291
X46798	X46799	0.958564289891447
X27513	X1584	0.954620414435766
X41754	X46972	0.953431198862724
X53261	X52944	0.951652461513513
X1414	X41754	0.949535253647392
X57463	X53260	0.947447933237637
X1105	X34035	0.94726418651377
X53260	X57464	0.946482185617668
X33941	X33936	0.945664962001671
X57463	X57464	0.941414499769037
X33972	X52285	0.940673668308275
X48492	X57330	0.939891082379108
X37196	X46172	0.939312460687874
X27672	X46354	0.937872543490025
X18254	X18394	0.936449200094525
X22053	X32457	0.935793765738828
X47708	X48001	0.935783315326847
X1105	X52285	0.935398586012415
X63358	X46640	0.935328972680553
X36746	X46537	0.935180508007194
X33972	X1336	0.931571188766153
X48448	X31536	0.931408212910754
X22036	X63120	0.931389643938642
X53261	X57464	0.930750160992164
X34400	X18394	0.930215415366615
X34400	X18254	0.929662805611085
X62290	X62291	0.928844693753647
X57635	X57636	0.928689786234957
X46603	X46493	0.928030304911989
X46466	X46507	0.927365335500138
X18281	X33384	0.927142681537469
X17805	X1336	0.925958113412314
X1105	X1336	0.925884354814049
X47153	X52437	0.925625545785299
X33971	X52285	0.925490493750204
X33971	X33972	0.925196924245659
X37200	X37480	0.92491873377482
X53261	X53260	0.924825769363722
X36103	X52025	0.924187868579951
X33949	X58	0.924089099761088
X48698	X46354	0.923481468605359
X57330	X52436	0.923382569276458
X33971	X33447	0.923106960595398
X33972	X1121	0.922850045306479
X62915	X31943	0.922775004765068
X46603	X46517	0.922527822236895
X17805	X52285	0.922487161110026
X48490	X52495	0.921844950633462
X33971	X1336	0.921820386766223
X33941	X61775	0.920832477321825
X48492	X52436	0.920497754937533
X46914	X46493	0.920075112720818
X62533	X36845	0.919054316642347
X46640	X47783	0.91840209840075
X22053	X46398	0.918202868265013
X46146	X48418	0.915246570430217
X46914	X46517	0.915089245029798
X62291	X62292	0.914562597338489
X1121	X1336	0.914492859058765
X52677	X52748	0.914433663123469
X33972	X17805	0.914207670894724
X52465	X52466	0.912751192915605
X63660	X47014	0.912437283946154
X21025	X1516	0.912403578909508
X48448	X49532	0.9123497879443
X52477	X52614	0.912081945205341
X53262	X52944	0.911034025710503
X1365	X1336	0.910577133928602
X1515	X33384	0.910490805210391
X53262	X57464	0.910461358945113
X46493	X54877	0.910265186297952
X34390	X46645	0.90996824741399
X32342	X41754	0.909678223600304
X62528	X61873	0.90961384040041
X48493	X52435	0.907786150157082
X57331	X57476	0.907168212385506
X33971	X1365	0.906310916946436
X52673	X52475	0.904856935901879
X35631	X42398	0.9048215262162
X1651	X31555	0.904081309283992
X32391	X34400	0.903631573688754
X48448	X47076	0.903090039389882
X41888	X46493	0.90298040704133
X35718	X32504	0.902663104570671
X61836	X61848	0.900355129341573
X42449	X52446	0.900170304689323
X48490	X48493	0.899792765543358
X38168	X32827	0.89916983163891
X41888	X46517	0.898771547333477
X62860	X47690	0.898340020869845
X52610	X52611	0.898212538148496
X48762	X48763	0.897781089372449
X52437	X57479	0.897506772116807
X41888	X46443	0.896036703509458
X37200	X37196	0.893787345350366
X46909	X48076	0.89352198616017
X1414	X46972	0.893217447859429
X32415	X33587	0.892642900304116
X35320	X46111	0.892131262736149
X33971	X1121	0.891639412160196
X52495	X52435	0.8908689408004
X31787	X62277	0.890793662677005
X34534	X48182	0.890741730767846
X54968	X46798	0.890577400594493
X36600	X35628	0.890487980364681
X46507	X46611	0.890243139355375
X53261	X53262	0.889370114383287
X46172	X40708	0.889052742235252
X32457	X46398	0.888618468493861
X52984	X63660	0.88854249186205
X33968	X62850	0.887974225087583
X1365	X52285	0.887780975109465
X54968	X46799	0.88775821854543
X32445	X34390	0.887665588762739
X18280	X1515	0.887479225590493
X54968	X54969	0.887479036301793
X52748	X52614	0.887402136810239
X35160	X44681	0.887260494224214
X41888	X46360	0.887155141509881
X48182	X33952	0.887066748149561
X32562	X62921	0.886860068662883
X33587	X52285	0.886515733617165
X1365	X33447	0.886493603778974
X44621	X39270	0.886408770706541
X61775	X33936	0.886243565736108
X33972	X33587	0.886158829857087
X46685	X46909	0.885918978861993
X17805	X33587	0.885288968529232
X52435	X52436	0.885139382705612
X39270	X39271	0.884705363521508
X57477	X57482	0.884655669548383
X52446	X42448	0.884209852702491
X52464	X52447	0.884102601604695
X33972	X1358	0.884077956174787
X46466	X46611	0.884025435693243
X52285	X33447	0.883895242421218
X17805	X1105	0.883878450728065
X1336	X1358	0.883818169545784
X1110	X35718	0.883746851715784
X32418	X33447	0.883315554722329
X47076	X49532	0.882748293459815
X34534	X33952	0.880091630771741
X41888	X46603	0.879163398595003
X48448	X63072	0.879124553721562
X1121	X1358	0.879061367376133
X52464	X19263	0.879007067073683
X33941	X34534	0.878602339448217
X38768	X33972	0.878281925364955
X46592	X47650	0.878121465783433
X1414	X32342	0.877907214008372
X37186	X31591	0.877768070779788
X39603	X43591	0.877728497906967
X48182	X53223	0.877497368729741
X52478	X52716	0.876600590305646
X52477	X52748	0.87658587026157
X34404	X569	0.876260847512082
X42449	X19263	0.875439391723066
X44621	X39271	0.875381745700426
X31675	X39603	0.875226915182595
X46443	X46517	0.873982769661511
X63358	X47783	0.873430103633155
X37190	X37202	0.873198621469768
X34424	X34401	0.872762114237342
X32405	X47708	0.872516255280119
X17805	X32415	0.871441495200198
X33968	X63683	0.870821771737282
X53261	X53263	0.870477706128039
X32342	X46972	0.870164671161756
X46115	X38170	0.870136394877451
X39837	X39831	0.869634161278152
X57652	X34035	0.869480957353113
X46443	X46493	0.869341381820633
X47203	X47204	0.868977789910147
X52464	X42449	0.8688344951609
X48492	X48493	0.868373825323551
X37431	X34384	0.868252655707908
X46594	X46608	0.867195173642972
X33952	X53223	0.867191511528752
X37200	X40708	0.866966831359617
X34035	X52285	0.86658176870237
X57480	X52435	0.86650485206477
X21132	X48448	0.866094549605782
X57475	X52495	0.865274220029002
X1643	X1303	0.86506581391039
X1110	X32504	0.864172024841022
X1365	X32418	0.863524463047026
X17805	X35718	0.863188936444812
X48492	X48490	0.863173326000687
X33955	X33961	0.862547766093739
X44876	X42381	0.862126136433451
X57473	X57476	0.861911316165388
X57481	X57477	0.861861561941973
X48448	X62798	0.861821553851299
X57330	X47153	0.86175420384581
X41754	X485	0.861655475709299
X37482	X38170	0.861577705713748
X34035	X1336	0.861560132425977
X57652	X1105	0.861196206477873
X57477	X57479	0.861155626111872
X21025	X22185	0.860558245898256
X57475	X48490	0.86046869902485
X44675	X18467	0.860153771089351
X18281	X18280	0.860045412669643
X52677	X52477	0.859234359453334
X46360	X46517	0.859170994640749
X48580	X43266	0.859130820726739
X62064	X61785	0.858393297359041
X52495	X48493	0.857410007598315
X52435	X57482	0.857364182927836
X32391	X18254	0.857189760524036
X1444	X39592	0.85665423554868
X57482	X52437	0.856528183589012
X32445	X46645	0.855961673071973
X33968	X32418	0.855687820177526
X21132	X62798	0.855647432542527
