Tissue	Module	Symbol	is.hub
Muscle	M10	A2BP1	no
Muscle	M10	AACSL	no
Muscle	M10	ABCC9	no
Muscle	M10	ABCF3	no
Muscle	M10	ABT1	no
Muscle	M10	ACADSB	no
Muscle	M10	ACBD5	no
Muscle	M10	ACOT7	no
Muscle	M10	ACP1	no
Muscle	M10	ACTR10	no
Muscle	M10	ADAM23	no
Muscle	M10	ADAM9	no
Muscle	M10	ADH5	no
Muscle	M10	ADORA1	no
Muscle	M10	AFF1	no
Muscle	M10	AFF4	no
Muscle	M10	AFMID	no
Muscle	M10	AGPAT3	no
Muscle	M10	AGPAT5	no
Muscle	M10	AGPS	no
Muscle	M10	AGXT2L2	no
Muscle	M10	ALG8	no
Muscle	M10	ALKBH1	no
Muscle	M10	ALS2CR4	no
Muscle	M10	ALS2CR8	no
Muscle	M10	AMPD1	no
Muscle	M10	ANAPC1	no
Muscle	M10	ANAPC7	no
Muscle	M10	ANKRD13C	no
Muscle	M10	ANKRD17	no
Muscle	M10	ANO5	no
Muscle	M10	ANXA7	no
Muscle	M10	AP3M1	no
Muscle	M10	APOBEC3C	no
Muscle	M10	APOC1	no
Muscle	M10	APP	no
Muscle	M10	ARFGEF2	no
Muscle	M10	ARG99	no
Muscle	M10	ARHGAP12	no
Muscle	M10	ARIH1	no
Muscle	M10	ARL6IP6	no
Muscle	M10	ARMC8	yes
Muscle	M10	ARSB	no
Muscle	M10	ASB11	no
Muscle	M10	ASF1A	no
Muscle	M10	ASNS	no
Muscle	M10	ASNSD1	no
Muscle	M10	ATF2	no
Muscle	M10	ATG4B	no
Muscle	M10	ATG4C	no
Muscle	M10	ATL2	yes
Muscle	M10	ATMIN	no
Muscle	M10	ATP2C1	no
Muscle	M10	ATP8A1	no
Muscle	M10	B3GALNT2	no
Muscle	M10	B4GALT1	no
Muscle	M10	BACH1	no
Muscle	M10	BBS10	no
Muscle	M10	BBS2	no
Muscle	M10	BCAP29	no
Muscle	M10	BCL6	no
Muscle	M10	BECN1	no
Muscle	M10	BET1	no
Muscle	M10	BOLL	no
Muscle	M10	BP75	no
Muscle	M10	BTF3	no
Muscle	M10	BTF3L4	no
Muscle	M10	BUD31	no
Muscle	M10	C10orf32	no
Muscle	M10	C10orf78	no
Muscle	M10	C11orf24	no
Muscle	M10	C11orf58	no
Muscle	M10	C12orf77	no
Muscle	M10	C13orf23	no
Muscle	M10	C13orf37	no
Muscle	M10	C14orf101	no
Muscle	M10	C15orf23	no
Muscle	M10	C15orf41	no
Muscle	M10	C15orf57	no
Muscle	M10	C16orf52	no
Muscle	M10	C17orf100	no
Muscle	M10	C17orf39	no
Muscle	M10	C17orf69	no
Muscle	M10	C17orf80	no
Muscle	M10	C18orf8	no
Muscle	M10	C1orf109	no
Muscle	M10	C1orf124	no
Muscle	M10	C1orf165	no
Muscle	M10	C1orf212	no
Muscle	M10	C1orf25	no
Muscle	M10	C1orf86	no
Muscle	M10	C20orf111	no
Muscle	M10	C20orf194	no
Muscle	M10	C21orf37	no
Muscle	M10	C21orf63	no
Muscle	M10	C2orf21	no
Muscle	M10	C2orf67	no
Muscle	M10	C3orf23	yes
