row	col	weight
RNU1.5	RNU1G2	0.989667103077022
RNU1.3	RNU1G2	0.988093368059772
RNU1.3	RNU1.5	0.987722751566693
LOC100133565	LOC441763	0.982236489940479
S100A8	S100A9	0.980262866577306
RNU1.5	RNU1A3	0.977832291575969
LOC100008589	LOC100132394	0.977729933961593
SGK	SGK1	0.973934866769513
RNU1A3	RNU1G2	0.973170774446949
LOC340156	MYLK4	0.971634368360812
GSTM1	GSTM2	0.970496367361056
RNU1.3	RNU1A3	0.967154417220005
LOC100008589	LOC100134364	0.96699733926534
FKBP1A	LOC642489	0.96627987852648
DYSFIP1	LOC728901	0.962879761245768
MED1	TRIML1	0.959082356170873
AKR1C2	AKR1C4	0.957756492705184
TRIML1	ZNF576	0.95760357979148
EGR1	FOS	0.956782684942029
FNDC5	MLLT10	0.956273366978372
LOC100134420	ZNF576	0.956053141271743
MT1A	MT1X	0.955619491660396
LOC653635	TRIML1	0.955455498580144
ITGB1BP3	ZNF197	0.955084435988327
LOC100132394	LOC100134364	0.954675039029455
MED1	PSENEN	0.953673304547575
PSENEN	ZNF576	0.953523677381622
PSENEN	TRIML1	0.952777292183277
SLC25A45	TRIML1	0.952064000514966
MED1	ZNF576	0.951538093948203
LOC100132247	LOC440353	0.950302038076683
EPHA8	LOC653635	0.950283196181049
LOC441377	LOC641768	0.949620497271198
LOC100134420	TRIML1	0.949186770008543
LOC653635	ZSWIM4	0.948822697678702
PTPN7	SLC25A45	0.948614069840573
DNA2	LOC653635	0.948364894630711
LOC641819	SLC25A45	0.948051873481784
PSENEN	PTPN7	0.948041631612093
RNU1F1	RNU1G2	0.948013792020522
RNU1.5	RNU1F1	0.947854478509382
LOC641819	NOC4L	0.947815479183181
LOC653720	TRIML1	0.947632094839336
PTPN7	TRIML1	0.947506269521638
LOC653635	LYPD3	0.947295701143708
LOC653635	SLC25A45	0.947016735205228
LOC653720	ZNF576	0.946704205917665
LOC100134420	PSENEN	0.946697191963809
RNU1.3	RNU1F1	0.946516444658875
MED1	SLC25A45	0.946318062264192
LOC641819	PTPN7	0.946230247276874
DNCL1	DYNLL1	0.946095659724091
MED1	PTPN7	0.945630130321349
